is_digital,is_min_digital,business_effective_date,country_name,country_cd,region,client_hash_id,product_count,has_open_investment,has_open_credit_card,has_open_high_yield_savings,has_open_checking_account,has_open_payroll_product,has_open_personal_loan,has_open_other_products,has_open_auto_loan,has_open_mortgage,has_open_insurance,entry_product,segment,is_new,is_churned,high_activity_month,is_priority_customer,total_revenues,total_lending_balance,total_deposit_balance,payroll_balance_cad,auto_loan_balance_cad,personal_loan_balance_cad,high_yield_savings_balance_cad,credit_card_balance_cad,high_forecast,purchase_count_last_month,purchase_amount_last_month,client_time
TRUE,TRUE,7/13/2016,Peru,CA,TRUE NORTH,C564839123,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Personal Loan,High Potential,TRUE,FALSE,FALSE,FALSE,55.4,16267.04156,641.6942305,2680.8635,484.4581559,2627.178641,26.93353515,658.7955113,TRUE,124,614,2
FALSE,TRUE,7/30/2021,Chile,MX,TRUE NORTH,C477820431,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Payroll Account,Low Total,FALSE,TRUE,FALSE,FALSE,30.64,30325.28025,340.9862783,28.5251,251.0656414,4738.337605,5.391820555,317.1590302,FALSE,652,544,29
FALSE,TRUE,6/17/2021,Canada,PE,PAC,C157155087,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Payroll Account,Medium Actual,TRUE,TRUE,TRUE,FALSE,18.67,13044.65987,974.3511823,1641.8422,225.8503703,4059.729793,34.58027035,603.0050894,TRUE,302,478,5
FALSE,FALSE,4/12/2016,Chile,CL,ECRDR,C477474241,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Personal Loan,Low Total,FALSE,TRUE,FALSE,FALSE,78.08,28903.8384,961.8965336,15716.859,405.3489963,3504.831667,868.7696479,433.5859111,TRUE,146,384,16
FALSE,TRUE,2/18/2019,Chile,CL,TRUE NORTH,C237929404,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Payroll Account,Medium Actual,FALSE,TRUE,TRUE,FALSE,39.13,1195.252177,833.6351778,29017.6697,215.8755999,6112.621003,373.7804926,92.1336567,FALSE,655,285,1
FALSE,FALSE,2/16/2023,Canada,MX,TRUE NORTH,C179471899,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Personal Loan,Low Total,FALSE,TRUE,FALSE,FALSE,75.08,4562.303092,702.9154302,9771.0465,158.1323695,3993.396601,555.7238752,256.4820125,FALSE,873,645,0
FALSE,FALSE,5/14/2018,Mexico,DR,TRUE NORTH,C315062071,4,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Personal Loan,High Actual,TRUE,TRUE,FALSE,FALSE,41.94,9615.116728,1144.422091,9410.1805,676.8015168,6497.173786,752.1967255,270.8663272,FALSE,462,443,18
FALSE,FALSE,7/30/2015,Peru,CA,TRUE NORTH,C203964875,3,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Personal Loan,Medium Potential,FALSE,FALSE,FALSE,FALSE,14.14,15255.05033,859.7306907,23714.2092,62.66215337,6537.090712,653.7284649,520.4455772,FALSE,945,542,23
TRUE,TRUE,6/23/2016,Chile,PE,PAC,C462727190,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Personal Loan,Medium Potential,FALSE,FALSE,FALSE,FALSE,58.02,16261.61557,277.2729782,5311.1907,589.1276281,2283.665767,1066.45448,620.2547615,TRUE,270,587,1
TRUE,FALSE,3/26/2018,Chile,CA,TRUE NORTH,C937532909,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Payroll Account,Low Total,TRUE,FALSE,FALSE,FALSE,85.35,13610.36468,245.4806339,15463.8509,89.11647719,1381.790641,476.6902229,229.3383115,TRUE,348,341,2
TRUE,FALSE,8/10/2020,Mexico,DR,ECRDR,C746647170,3,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Personal Loan,Medium Actual,FALSE,TRUE,FALSE,FALSE,18.25,10256.51413,494.9741477,15046.7536,31.80561498,1302.816577,381.8182472,116.7333681,TRUE,247,474,36
FALSE,FALSE,7/27/2023,Chile,CA,ECRDR,C313467701,1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Payroll Account,High Actual,TRUE,FALSE,FALSE,FALSE,87.29,29523.63649,534.9929483,26527.9224,503.0343469,5489.595108,673.9946437,557.7400055,FALSE,506,529,0
TRUE,TRUE,1/15/2020,Canada,CA,TRUE NORTH,C891234567,5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Checking Account,High Potential,FALSE,FALSE,TRUE,TRUE,125.5,45000.5,12500.75,8500.25,0,0,2500.5,1500.0,TRUE,450,2500,12
FALSE,TRUE,3/22/2019,Mexico,MX,PAC,C234567890,3,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Credit Card,Medium Actual,FALSE,FALSE,FALSE,FALSE,67.3,22000.0,5600.0,3200.0,0,1800.0,800.0,4200.0,FALSE,280,1850,8
TRUE,FALSE,9/8/2021,Peru,PE,ECRDR,C345678901,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,High Yield Savings,Low Total,TRUE,FALSE,FALSE,FALSE,42.1,8500.0,15000.0,0,0,0,12000.0,0,TRUE,95,420,3
FALSE,TRUE,11/30/2020,Chile,CL,TRUE NORTH,C456789012,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Payroll Account,High Actual,FALSE,FALSE,TRUE,TRUE,156.8,38000.0,8900.0,6500.0,0,0,1200.0,3500.0,TRUE,520,3200,15
TRUE,TRUE,5/18/2022,Canada,CA,PAC,C567890123,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Investment,High Potential,TRUE,FALSE,FALSE,TRUE,198.9,65000.0,22000.0,12000.0,15000.0,8000.0,4500.0,2800.0,TRUE,680,4100,6
FALSE,FALSE,2/14/2018,Mexico,DR,TRUE NORTH,C678901234,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Checking Account,Medium Potential,FALSE,TRUE,FALSE,FALSE,35.2,12000.0,3200.0,2800.0,0,0,0,0,FALSE,145,680,22
TRUE,TRUE,8/25/2019,Peru,CA,ECRDR,C789012345,3,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Personal Loan,Medium Actual,FALSE,FALSE,TRUE,FALSE,73.4,18500.0,6200.0,0,0,5500.0,1800.0,2200.0,TRUE,310,1950,11
FALSE,TRUE,12/5/2021,Chile,MX,PAC,C890123456,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Payroll Account,Low Total,TRUE,TRUE,FALSE,FALSE,28.9,5200.0,1800.0,1500.0,0,0,0,0,FALSE,82,350,1
TRUE,FALSE,4/10/2017,Canada,PE,TRUE NORTH,C901234567,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Credit Card,High Actual,FALSE,FALSE,FALSE,TRUE,142.7,52000.0,9500.0,7200.0,12000.0,0,1500.0,5800.0,TRUE,590,3850,19
FALSE,TRUE,10/22/2020,Mexico,MX,ECRDR,C012345678,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,High Yield Savings,Low Total,FALSE,FALSE,FALSE,FALSE,31.5,6800.0,8500.0,4200.0,0,0,6200.0,0,FALSE,118,590,7
TRUE,TRUE,6/30/2019,Peru,CA,PAC,C123456780,5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Investment,High Potential,FALSE,FALSE,TRUE,TRUE,175.2,48000.0,18500.0,9800.0,0,6200.0,3800.0,0,TRUE,625,3600,14
FALSE,FALSE,1/8/2022,Chile,CL,TRUE NORTH,C234567891,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Payroll Account,Medium Actual,TRUE,FALSE,FALSE,FALSE,62.8,16800.0,4200.0,3500.0,0,0,0,1800.0,FALSE,215,1420,4
